obiettivo,id,data,indicatore,utente,testo
0,1467810369,Mon Apr 06 22:19:45 PDT 2009,NO_QUERY,_TheSpecialOne_,"@switchfoot http://twitpic.com/2y1zl - Awww, che sfortuna. Avresti dovuto farla fare a David Carr dei Third Day. ;D"
0,1467810672,Mon Apr 06 22:19:49 PDT 2009,NO_QUERY,scotthamilton,è arrabbiato perché non può aggiornare il suo Facebook tramite SMS... e potrebbe piangere di conseguenza. Anche scuola oggi. Che noia!
0,1467810917,Mon Apr 06 22:19:53 PDT 2009,NO_QUERY,mattycus,"@Kenichan Mi sono tuffato molte volte per la palla. Sono riuscito a salvarne il 50%. Il resto è andato fuori campo"
0,1467811184,Mon Apr 06 22:19:57 PDT 2009,NO_QUERY,ElleCTF,tutto il mio corpo mi prude e mi sento come in fiamme
0,1467811193,Mon Apr 06 22:19:57 PDT 2009,NO_QUERY,Karoli,"@nationwideclass no, non si comporta affatto bene. sono arrabbiata. perché sono qui? perché non posso vedervi tutti lì."
00,1467811372,Mon Apr 06 22:20:00 PDT 2009,NO_QUERY,joy_wolf,"@Kwesidei non tutto l'equipaggio"
0,1467811592,Mon Apr 06 22:20:03 PDT 2009,NO_QUERY,mybirch,Ho bisogno di un abbraccio
0,1467811594,Mon Apr 06 22:20:03 PDT 2009,NO_QUERY,coZZ,"@LOLTrish ehi, da quanto tempo! Sì.. Piove un po', solo un po'. LOL, sto bene grazie, tu come stai?"
0,1467811795,Mon Apr 06 22:20:05 PDT 2009,NO_QUERY,2Hood4Hollywood,"@Tatiana_K no, non ce l'avevano"
0,1467812025,Mon Apr 06 22:20:09 PDT 2009,NO_QUERY,mimismo,"@twittera che mi muera?"
0,1467812416,Mon Apr 06 22:20:16 PDT 2009,NO_QUERY,erinx3leannexo,vacanze di primavera a Plain City... sta nevicando
0,1467812579,Mon Apr 06 22:20:17 PDT 2009,NO_QUERY,pardonlauren,Mi sono appena rifatta i buchi alle orecchie
0,1467812723,Mon Apr 06 22:20:19 PDT 2009,NO_QUERY,TLeC,"@caregiving Non sono riuscito a guardarlo. E pensavo che la sconfitta della UA fosse imbarazzante . . . ."
0,1467812771,Mon Apr 06 22:20:19 PDT 2009,NO_QUERY,robrobbierobert,"@octolinz16 Se conta, non so perché l'ho fatto anch'io. Non mi parli più"
0,1467812784,Mon Apr 06 22:20:20 PDT 2009,NO_QUERY,bayofwolves,"@smarrison sarei stato il primo, ma non avevo una pistola. Non proprio, Zac Snyder è solo uno stronzo."
0,1467812799,Mon Apr 06 22:20:20 PDT 2009,NO_QUERY,HairByJess,"@iamjazzyfizzle Vorrei averlo potuto guardare con te!! Mi mancate tu e @iamlilnicki com'è stata la prima?!"
0,1467812964,Mon Apr 06 22:20:22 PDT 2009,NO_QUERY,lovesongwriter,La scena della morte di Hollis mi farà molto male guardare al cinema. Perché il director's cut non è ancora uscito?
0,1467813137,Mon Apr 06 22:20:25 PDT 2009,NO_QUERY,armotley,sto per presentare le tasse
0,1467813579,Mon Apr 06 22:20:31 PDT 2009,NO_QUERY,starkissed,"@LettyA ahh ho sempre voluto vedere Rent. Adoro la colonna sonora!!"
0,1467813782,Mon Apr 06 22:20:34 PDT 2009,NO_QUERY,gi_gi_bee,"@FakerPattyPattz Oh caro. Stavi bevendo dalle bevande dimenticate sul tavolo?"
0,1467813985,Mon Apr 06 22:20:37 PDT 2009,NO_QUERY,quanvu,"@alydesigns sono stato fuori quasi tutto il giorno quindi non ho fatto molto"
0,1467813992,Mon Apr 06 22:20:38 PDT 2009,NO_QUERY,swinspeedx,"uno dei miei amici mi ha chiamato e mi ha chiesto di incontrarla a Mid Valley oggi... ma non ho tempo *sospiro*"
0,1467814119,Mon Apr 06 22:20:40 PDT 2009,NO_QUERY,cooliodoc,"@angry_barista Ti ho preparato una torta ma l'ho mangiata"
0,1467814180,Mon Apr 06 22:20:40 PDT 2009,NO_QUERY,viJILLante,questa settimana non sta andando come speravo
0,1467814192,Mon Apr 06 22:20:41 PDT 2009,NO_QUERY,Ljelli3166,che noia, lezione alle 8 domani
0,1467814438,Mon Apr 06 22:20:44 PDT 2009,NO_QUERY,ChicagoCubbie,Odio quando devo chiamare e svegliare la gente
0,1467814783,Mon Apr 06 22:20:50 PDT 2009,NO_QUERY,KatieAngell,Vado a piangermi addosso fino ad addormentarmi dopo aver visto Io & Marley.
0,1467814883,Mon Apr 06 22:20:52 PDT 2009,NO_QUERY,gagoo,sono triste adesso. Signorina Lilly
0,1467815199,Mon Apr 06 22:20:56 PDT 2009,NO_QUERY,abel209,ooooh.... LOL quella Leslie.... e ok non lo farò più così Leslie non si arrabbierà più
0,1467815753,Mon Apr 06 22:21:04 PDT 2009,NO_QUERY,BaptisteTheFool,Meh... Almost Lover è l'eccezione... questa traccia mi deprime ogni volta.
0,1467815923,Mon Apr 06 22:21:07 PDT 2009,NO_QUERY,fatkat309,qualcuno ha hackerato il mio account su AIM, ora devo crearne uno nuovo
0,1467815924,Mon Apr 06 22:21:07 PDT 2009,NO_QUERY,EmCDL,"@alielayus Voglio andare a promuovere GEAR AND GROOVE ma sfortunatamente non ho un passaggio. Potrei andare a quello ad Anaheim a maggio però"
0,1467815988,Mon Apr 06 22:21:09 PDT 2009,NO_QUERY,merisssa,pensavo che dormire fino a tardi fosse un'opzione domani ma ora mi rendo conto che non lo è. Valutazioni la mattina e lavoro il pomeriggio!
0,1467816149,Mon Apr 06 22:21:11 PDT 2009,NO_QUERY,Pbearfox,"@julieebaby aww ti voglio bene anch'io!!!! L'una qui mi manchi"
0,1467816665,Mon Apr 06 22:21:21 PDT 2009,NO_QUERY,jsoo,"@HumpNinja Piango i miei occhi asiatici fino ad addormentarmi la notte"
0,1467816749,Mon Apr 06 22:21:20 PDT 2009,NO_QUERY,scarletletterm,ok sono malato e ho passato un'ora seduto nella doccia perché ero troppo malato per stare in piedi e ho trattenuto il vomito come un campione. A LETTO adesso
0,1467817225,Mon Apr 06 22:21:27 PDT 2009,NO_QUERY,crosland_12,"@cocomix04 te lo racconto dopo, non è stata una bella giornata e lavorerò per altre tre ore..."
0,1467817374,Mon Apr 06 22:21:30 PDT 2009,NO_QUERY,ajaxpro,"@MissXu scusa! è ora di andare a letto qui (GMT+1) http://is.gd/fNge"
0,1467817502,Mon Apr 06 22:21:32 PDT 2009,NO_QUERY,Tmttq86,"@fleurylis Neanch'io. È deprimente. Non credo di voler nemmeno sapere dei bambini nelle valigie."
0,1467818007,Mon Apr 06 22:21:39 PDT 2009,NO_QUERY,Anthony_Nguyen,A letto. Lezione 8-12. Lavoro 12-3. Palestra 3-5 o 6. Poi lezione 6-10. Un altro giorno che volerà via. Mi manca la mia ragazza
0,1467818020,Mon Apr 06 22:21:39 PDT 2009,NO_QUERY,itsanimesh,non ho proprio voglia di alzarmi oggi... ma devo studiare per l'esame pratico di domani...
0,1467818481,Mon Apr 06 22:21:46 PDT 2009,NO_QUERY,lionslamb,Lui è la ragione delle lacrime sulla mia chitarra, l'unico che ha abbastanza di me per spezzarmi il cuore
0,1467818603,Mon Apr 06 22:21:49 PDT 2009,NO_QUERY,kennypham,"Triste, triste, triste. Non so perché ma odio questa sensazione. Voglio dormire e non ci riesco ancora!"
0,1467818900,Mon Apr 06 22:21:53 PDT 2009,NO_QUERY,DdubsShellBell,"@JonathanRKnight Awww, avrei tanto voluto essere lì per vederti finalmente a tuo agio! Sono triste di averlo perso"
0,1467819022,Mon Apr 06 22:21:56 PDT 2009,NO_QUERY,hpfangirl94,Mi sto addormentando. Ho appena saputo che hanno trovato il corpo di quella ragazza Tracy. Che tristezza. Il mio cuore si spezza per quella famiglia.
0,1467819650,Mon Apr 06 22:22:05 PDT 2009,NO_QUERY,antzpantz,"@Viennah Yay! Sono felice per te e il tuo lavoro! Ma questo significa anche meno tempo per me e te..."
0,1467819712,Mon Apr 06 22:22:06 PDT 2009,NO_QUERY,labrt2004,"Ho appena controllato la mia cronologia utente sul mio blackberry, sembra che il twanking stia ancora succedendo. La gente ha ancora problemi con BG e UID?"
0,1467819812,Mon Apr 06 22:22:07 PDT 2009,NO_QUERY,IrisJumbe,Oh cavolo... stavo stirando il top preferito di @jeancjumbe da indossare per una riunione. L'ho bruciato
0,1467820206,Mon Apr 06 22:22:13 PDT 2009,NO_QUERY,peacoats,è stranamente triste per la rottura tra LiLo e SamRo.
0,1467820835,Mon Apr 06 22:22:25 PDT 2009,NO_QUERY,cyantist,"@tea oh! mi dispiace tanto. non ci ho pensato prima di retwittare."
0,1467820863,Mon Apr 06 22:22:23 PDT 2009,NO_QUERY,tautao,Piano a banda larga 'una massiccia promessa non mantenuta' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Stiamo ancora aspettando la banda larga
0,1467820906,Mon Apr 06 22:22:24 PDT 2009,NO_QUERY,voyage2k,"@localtweeps Wow, tantissime risposte da te, potrei dover smettere di seguirti per vedere i tweet dei miei amici, stai scorrendo molto il feed."
0,1467821085,Mon Apr 06 22:22:26 PDT 2009,NO_QUERY,crzy_cdn_bulas,le nostre anatre e galline ci stanno mettendo troppo tempo a schiudersi
0,1467821338,Mon Apr 06 22:22:30 PDT 2009,NO_QUERY,justnetgirl,"Ho messo online le foto delle vacanze qualche anno fa. Il PC si è bloccato, e ora ho dimenticato il nome del sito."
0,1467821455,Mon Apr 06 22:22:32 PDT 2009,NO_QUERY,CiaraRenee,Ho bisogno di un abbraccio
0,1467821715,Mon Apr 06 22:22:37 PDT 2009,NO_QUERY,deelau,"@andywana Non sono sicuro cosa siano, solo che sono pezzi di m***a! Per quanto lo voglia, non credo di poter cedere beni aziendali, scusa Andy!"
0,1467822384,Mon Apr 06 22:22:47 PDT 2009,NO_QUERY,Lindsey0920,"@oanhLove Odio quando succede..."
0,1467822389,Mon Apr 06 22:22:47 PDT 2009,NO_QUERY,HybridMink,"Ho una triste sensazione che Dallas non si farà vivo. Devo dire, però, che si penserebbe che più spettacoli userebbero musica del gioco. Mmm"
0,1467822519,Mon Apr 06 22:22:49 PDT 2009,NO_QUERY,gzacher,Ugh....92 gradi domani
0,1467822522,Mon Apr 06 22:22:49 PDT 2009,NO_QUERY,Jenn_L,Dove ti sei trasferito? Pensavo fossi già a SD. ?? Hmmm. È strano che mi hai trovato. Sono contenta di sapere che stai bene.
0,1467822687,Mon Apr 06 22:22:52 PDT 2009,NO_QUERY,xVivaLaJuicyx,"@BatManYNG Mi manca la mia ps3, è fuori uso. Cosa stai giocando? Hai preso 'Blood On The Sand'?"
0,1467822918,Mon Apr 06 22:22:55 PDT 2009,NO_QUERY,krbleyle,sto giusto lasciando il parcheggio del lavoro!
0,1467823437,Mon Apr 06 22:23:03 PDT 2009,NO_QUERY,xpika,La vita è bella. Ma non per me.
0,1467823770,Mon Apr 06 22:23:08 PDT 2009,NO_QUERY,Henkuyinepu,"Purtroppo, però, non ho mai sperimentato la sigaretta post coito prima, e ora non lo farò mai."
0,1467823851,Mon Apr 06 22:23:09 PDT 2009,NO_QUERY,ericg622,Ho passato una giornata così bella. Peccato che la pioggia arrivi domani alle 5 del mattino
0,1467824199,Mon Apr 06 22:23:15 PDT 2009,NO_QUERY,adri_mane,"@Starrbby peccato che non ci sarò, ho perso il lavoro e non riesco nemmeno a pagare la bolletta del telefono lmao, che sfortuna"
0,1467824664,Mon Apr 06 22:23:23 PDT 2009,NO_QUERY,a_mariepyt,Mannaggia, si torna a scuola domani
0,1467824967,Mon Apr 06 22:23:28 PDT 2009,NO_QUERY,playboybacon,"Niente lavori, niente soldi. Come diavolo fa il salario minimo qui a essere 4 dollari l'ora?"
0,1467825003,Mon Apr 06 22:23:28 PDT 2009,NO_QUERY,leslierosales,"@katortiz Non per sempre... Ci vediamo presto!"
0,1467825084,Mon Apr 06 22:23:30 PDT 2009,NO_QUERY,PresidentSnow,"@Lt_Algonquin d'accordo, ho visto la balena del fallimento tutto il giorno oggi."
0,1467825411,Mon Apr 06 22:23:35 PDT 2009,NO_QUERY,michrod,"@jdarter Oh! Haha... amico, non li guardo davvero a meno che qualcuno non dica EHI TI HO AGGIUNTO. Scusa, sono così pessima in questo. Ho bisogno di un pop-up!"
0,1467825642,Mon Apr 06 22:23:39 PDT 2009,NO_QUERY,timmelko,"@ninjen Sono sicuro che hai ragione... Devo iniziare ad allenarmi con te e Nikster... O almeno Jared!"
0,1467825863,Mon Apr 06 22:23:43 PDT 2009,NO_QUERY,BrookeAmanda,odio davvero come la gente denigra le mie band! Trace non è chiaramente brutto!
